,date,price_agg,price_spy,price_mergaai
285,2005-02-28,102.21,120.63,29.16
286,2005-03-01,101.85,121.23,29.1
287,2005-03-02,101.72,121.17,29.0
288,2005-03-03,101.8,121.22,29.13
289,2005-03-04,102.09,122.73,29.16
290,2005-03-07,102.12,122.79,29.29
291,2005-03-08,101.9,122.33,29.31
292,2005-03-09,101.28,120.97,29.35
293,2005-03-10,101.16,121.24,29.26
294,2005-03-11,101.24,120.39,29.29
295,2005-03-14,101.2,121.14,29.17
296,2005-03-15,101.22,120.14,29.22
297,2005-03-16,101.29,119.12,29.09
298,2005-03-17,101.27,119.36,29.04
299,2005-03-18,101.2,118.54,29.08
300,2005-03-21,101.2,118.1,29.0
301,2005-03-22,100.65,116.9,28.97
302,2005-03-23,100.78,117.0,28.65
303,2005-03-24,100.84,117.14,28.63
304,2005-03-29,100.58,116.53,28.51
305,2005-03-30,100.88,118.18,28.43
306,2005-03-31,100.93,117.96,28.64
307,2005-04-01,101.18,117.43,28.74
308,2005-04-04,101.06,117.63,28.53
309,2005-04-05,100.86,118.19,28.58
310,2005-04-06,101.12,118.6,28.65
311,2005-04-07,101.0,119.24,28.69
312,2005-04-08,101.0,118.0,28.7
313,2005-04-11,101.19,118.09,28.67
314,2005-04-12,101.47,118.7,28.65
315,2005-04-13,101.61,117.3,28.69
316,2005-04-14,101.7,115.77,28.53
317,2005-04-15,102.06,114.15,28.3
318,2005-04-18,101.94,114.5,28.08
319,2005-04-19,102.07,115.41,28.24
320,2005-04-20,102.14,113.8,28.26
321,2005-04-21,101.89,116.01,28.29
322,2005-04-22,102.1,115.57,28.38
323,2005-04-25,102.06,116.33,28.37
324,2005-04-26,101.81,115.2,28.36
325,2005-04-27,102.23,115.65,28.16
326,2005-04-28,102.49,114.2,28.15
327,2005-04-29,102.32,115.75,28.17
328,2005-05-02,101.99,116.4,28.23
329,2005-05-03,101.92,116.6,28.25
330,2005-05-04,102.03,117.5,28.35
331,2005-05-06,101.72,117.09,28.57
332,2005-05-09,101.64,117.82,28.47
333,2005-05-10,101.75,116.6,28.45
334,2005-05-11,101.92,117.24,28.4
335,2005-05-12,102.16,115.95,28.32
336,2005-05-13,102.26,115.72,28.09
337,2005-05-17,102.23,117.58,28.03
338,2005-05-18,102.5,118.79,28.13
339,2005-05-19,102.25,119.29,28.3
340,2005-05-20,102.13,119.12,28.31
341,2005-05-23,102.47,119.78,28.32
342,2005-05-24,102.65,119.5,28.4
343,2005-05-25,102.63,119.41,28.33
344,2005-05-26,102.62,120.05,28.36
345,2005-05-27,102.55,120.25,28.45
346,2005-05-31,102.83,119.48,28.39
347,2005-06-01,103.24,120.5,28.39
348,2005-06-02,103.17,120.76,28.49
349,2005-06-03,102.91,120.15,28.57
350,2005-06-06,102.93,120.04,28.51
351,2005-06-07,103.2,120.13,28.61
352,2005-06-08,103.008,119.91,28.62
353,2005-06-09,103.0,120.48,28.5
354,2005-06-10,102.6,120.2,28.61
355,2005-06-13,102.51,120.58,28.47
356,2005-06-14,102.38,120.86,28.59
357,2005-06-15,102.32,121.09,28.61
358,2005-06-16,102.63,121.4,28.74
359,2005-06-17,102.63,121.36,28.91
360,2005-06-20,102.4,121.4,28.91
361,2005-06-21,102.82,121.47,28.85
362,2005-06-22,103.26,121.57,28.94
363,2005-06-24,103.32,118.98,28.8
364,2005-06-27,103.4,119.15,28.72
365,2005-06-28,103.1,120.15,28.75
366,2005-06-29,103.05,119.83,28.79
367,2005-06-30,103.38,119.18,28.8
368,2005-07-01,102.68,119.53,28.78
369,2005-07-05,102.3,120.49,28.67
370,2005-07-06,102.46,119.48,28.8
371,2005-07-07,102.59,119.95,28.63
372,2005-07-08,102.42,121.32,28.7
373,2005-07-11,102.43,121.94,28.93
374,2005-07-12,102.38,122.26,29.07
375,2005-07-13,102.24,122.43,29.1
376,2005-07-14,102.24,122.91,29.1
377,2005-07-15,102.29,122.84,29.03
378,2005-07-18,102.11,122.35,28.99
379,2005-07-19,102.16,123.02,28.96
380,2005-07-20,102.33,123.44,29.04
381,2005-07-21,101.8,122.72,29.14
382,2005-07-22,101.95,123.54,29.19
383,2005-07-25,101.95,123.19,29.19
384,2005-07-26,102.06,123.34,29.13
385,2005-07-27,102.0,123.79,29.14
386,2005-07-28,102.3,124.57,29.25
387,2005-07-29,101.98,123.74,29.37
388,2005-08-01,101.59,123.65,29.44
389,2005-08-02,101.37,124.39,29.51
390,2005-08-03,101.7,124.72,29.59
391,2005-08-04,101.6,123.72,29.55
392,2005-08-05,101.1,122.88,29.46
393,2005-08-08,101.08,122.65,29.49
394,2005-08-09,101.26,123.39,29.51
395,2005-08-10,101.27,123.33,29.74
396,2005-08-11,101.54,123.82,29.83
397,2005-08-12,101.83,123.06,29.88
398,2005-08-16,101.98,122.21,29.77
399,2005-08-17,101.77,122.2,29.63
400,2005-08-18,102.05,122.19,29.52
401,2005-08-19,101.95,122.47,29.55
402,2005-08-22,102.04,122.47,29.75
403,2005-08-23,102.11,122.24,29.65
404,2005-08-24,102.24,121.15,29.56
405,2005-08-25,102.24,121.59,29.56
406,2005-08-26,102.16,120.76,29.57
407,2005-08-29,102.2,121.69,29.41
408,2005-08-30,102.45,121.05,29.47
409,2005-08-31,102.85,122.58,29.52
410,2005-09-01,102.65,122.49,29.89
411,2005-09-02,102.6,122.27,30.0
412,2005-09-06,102.4,123.7,29.99
413,2005-09-07,102.23,123.91,30.04
414,2005-09-08,102.22,123.5,30.01
415,2005-09-09,102.19,124.6,30.08
416,2005-09-12,102.05,124.35,30.21
417,2005-09-13,102.3,123.66,30.14
418,2005-09-14,102.19,123.21,30.13
419,2005-09-15,101.94,123.15,30.17
420,2005-09-16,101.71,123.5,30.22
421,2005-09-19,101.8,123.09,30.23
422,2005-09-20,101.73,122.05,30.34
423,2005-09-21,101.96,120.91,30.28
424,2005-09-22,102.05,121.34,30.18
425,2005-09-23,101.87,121.44,30.07
426,2005-09-26,101.62,121.58,30.22
427,2005-09-27,101.55,121.55,30.23
428,2005-09-28,101.83,121.67,30.36
429,2005-09-29,101.6,122.66,30.49
430,2005-09-30,101.55,123.04,30.49
431,2005-10-03,100.87,122.6,30.45
432,2005-10-04,101.01,121.22,30.44
433,2005-10-05,101.17,119.63,30.27
434,2005-10-06,101.1,119.2,29.99
435,2005-10-07,101.0,119.61,30.01
436,2005-10-10,101.13,118.6,29.98
437,2005-10-11,100.83,118.43,30.06
438,2005-10-12,100.79,117.5,29.99
439,2005-10-13,100.53,117.43,29.76
440,2005-10-14,100.5,118.67,29.7
441,2005-10-17,100.66,119.11,29.82
442,2005-10-18,100.62,117.82,29.71
443,2005-10-19,100.8,119.78,29.47
444,2005-10-20,100.82,117.67,29.63
445,2005-10-21,101.05,118.13,29.57
446,2005-10-24,100.85,119.96,29.6
447,2005-10-25,100.55,119.72,29.79
448,2005-10-26,100.15,119.37,29.84
449,2005-10-27,100.38,118.1,29.85
450,2005-10-28,100.22,119.8,29.72
451,2005-10-31,100.21,120.13,30.0
452,2005-11-02,99.79,121.75,30.09
453,2005-11-03,99.45,122.27,30.34
454,2005-11-04,99.55,122.11,30.27
455,2005-11-07,99.56,122.23,30.2
456,2005-11-08,99.9,122.23,30.12
457,2005-11-09,99.64,122.39,30.19
458,2005-11-10,99.99,123.34,30.18
459,2005-11-11,100.09,123.76,30.22
460,2005-11-14,99.75,123.69,30.25
461,2005-11-15,99.89,123.24,30.08
462,2005-11-16,100.12,123.49,30.12
463,2005-11-17,100.15,124.64,30.29
464,2005-11-18,100.11,125.13,30.45
465,2005-11-21,100.43,125.76,30.5
466,2005-11-22,100.69,126.3,30.44
467,2005-11-23,100.62,127.03,30.63
468,2005-11-25,100.71,127.13,30.68
469,2005-11-28,100.57,126.23,30.65
470,2005-11-29,100.43,126.09,30.67
471,2005-11-30,100.22,125.41,30.55
472,2005-12-01,99.7,126.69,30.69
473,2005-12-02,99.7,126.85,30.76
474,2005-12-05,99.75,126.58,30.79
475,2005-12-06,99.92,126.82,30.77
476,2005-12-07,99.79,126.08,30.84
477,2005-12-08,100.3,126.0,30.72
478,2005-12-09,99.96,126.33,30.85
479,2005-12-12,99.75,126.45,31.0
480,2005-12-13,100.13,127.31,31.02
481,2005-12-14,100.4,127.81,31.15
482,2005-12-15,100.3,127.44,31.16
483,2005-12-16,100.29,126.36,31.13
484,2005-12-19,100.37,125.71,31.16
485,2005-12-20,100.4,125.83,31.11
486,2005-12-21,100.4,126.03,31.22
487,2005-12-22,100.62,126.69,31.21
488,2005-12-23,100.88,126.76,31.26
489,2005-12-27,101.14,125.47,31.31
490,2005-12-28,100.4,125.75,31.29
491,2005-12-29,100.47,125.19,31.26
492,2005-12-30,100.59,124.51,31.17
493,2006-01-03,100.64,126.7,31.38
494,2006-01-04,100.88,127.3,31.79
495,2006-01-05,100.88,127.38,31.91
496,2006-01-06,100.65,128.44,31.97
497,2006-01-09,100.76,128.77,32.14
498,2006-01-10,100.56,128.9,32.03
499,2006-01-11,100.49,129.31,32.11
500,2006-01-12,100.75,128.8,32.27
501,2006-01-13,101.03,128.68,32.11
502,2006-01-17,101.08,128.33,31.99
503,2006-01-18,101.2,127.82,31.8
504,2006-01-19,101.05,128.31,31.96
505,2006-01-20,101.1,125.97,32.07
506,2006-01-23,101.1,126.42,32.0
507,2006-01-24,100.93,126.55,32.12
508,2006-01-25,100.68,126.66,32.21
509,2006-01-26,100.37,127.36,32.21
510,2006-01-27,100.5,128.54,32.42
511,2006-01-30,100.51,128.44,32.46
512,2006-01-31,100.53,127.5,32.52
513,2006-02-01,99.88,128.39,32.52
514,2006-02-02,99.95,126.9,32.47
515,2006-02-03,100.23,126.27,32.26
516,2006-02-06,100.21,126.6,32.38
517,2006-02-07,100.14,125.48,32.31
518,2006-02-08,100.09,126.62,32.03
519,2006-02-09,100.15,126.41,32.26
520,2006-02-10,99.94,126.64,32.21
521,2006-02-13,100.01,126.41,32.0
522,2006-02-14,99.85,127.75,32.01
523,2006-02-15,99.96,128.2,32.08
524,2006-02-16,99.86,129.16,32.11
525,2006-02-17,100.27,128.81,32.18
526,2006-02-21,99.9,128.49,32.35
527,2006-02-22,100.3,129.27,32.26
528,2006-02-23,100.24,129.08,32.4
529,2006-02-24,100.32,129.41,32.51
530,2006-02-27,100.11,129.46,32.6
531,2006-02-28,100.32,128.23,32.57
532,2006-03-01,99.95,129.37,32.53
533,2006-03-02,99.7,129.36,32.55
534,2006-03-03,99.5,128.76,32.57
535,2006-03-06,98.95,128.17,32.6
536,2006-03-07,99.2,127.97,32.26
537,2006-03-08,99.25,128.24,32.14
538,2006-03-09,99.12,127.38,32.33
539,2006-03-10,99.16,128.59,32.23
540,2006-03-13,99.34,128.83,32.46
541,2006-03-14,99.67,130.18,32.5
542,2006-03-15,99.4,130.76,32.69
543,2006-03-16,99.82,131.03,32.77
544,2006-03-17,99.6,130.62,32.95
545,2006-03-20,99.56,130.41,33.05
546,2006-03-21,99.3,129.59,32.9
547,2006-03-22,99.48,130.38,32.74
548,2006-03-23,99.4,130.11,32.8
549,2006-03-24,99.57,130.21,32.72
550,2006-03-27,99.65,130.02,32.84
551,2006-03-28,99.4,129.22,32.83
552,2006-03-29,99.2,130.03,32.77
553,2006-03-30,98.75,129.8,33.03
554,2006-03-31,99.08,129.83,33.01
555,2006-04-03,98.6,129.73,33.14
556,2006-04-04,98.73,130.56,33.21
557,2006-04-05,98.8,131.01,33.39
558,2006-04-06,98.72,130.87,33.56
559,2006-04-07,98.39,129.54,33.51
560,2006-04-10,98.3,129.74,33.34
561,2006-04-11,98.5,128.64,33.32
562,2006-04-12,98.41,128.88,33.15
563,2006-04-13,98.21,128.71,33.0
564,2006-04-18,98.3,130.7,33.38
565,2006-04-19,98.39,130.95,33.69
566,2006-04-20,98.24,131.13,33.73
567,2006-04-21,98.23,131.15,33.79
568,2006-04-24,98.6,130.91,33.78
569,2006-04-25,98.27,130.37,33.79
570,2006-04-26,98.1,130.4,33.78
571,2006-04-27,98.3299,131.03,33.65
572,2006-04-28,98.55,131.47,33.8
573,2006-05-02,97.89,131.38,34.11
574,2006-05-03,97.82,130.89,34.21
575,2006-05-04,97.77,131.36,34.15
576,2006-05-05,97.95,132.52,34.35
577,2006-05-08,98.02,132.36,34.62
578,2006-05-09,97.97,132.62,34.58
579,2006-05-10,97.86,132.55,34.67
580,2006-05-11,97.8,130.95,34.55
581,2006-05-12,97.59,129.24,34.39
582,2006-05-15,97.65,129.5,33.84
583,2006-05-16,98.13,129.31,33.8
584,2006-05-17,97.85,126.85,33.85
585,2006-05-18,98.26,126.21,33.35
586,2006-05-19,98.24,127.1,33.19
587,2006-05-22,98.26,126.13,32.85
588,2006-05-23,97.99,125.17,33.01
589,2006-05-24,98.01,126.17,32.87
590,2006-05-26,98.42,128.38,33.13
591,2006-05-30,98.2,126.1,33.14
592,2006-05-31,97.98,127.51,32.99
593,2006-06-01,97.52,128.73,32.89
594,2006-06-02,98.27,129.0,33.19
595,2006-06-06,98.21,126.81,32.81
596,2006-06-07,97.9,125.86,32.6
597,2006-06-08,98.23,125.75,32.16
598,2006-06-09,98.37,125.35,32.33
599,2006-06-12,98.07,123.99,32.21
600,2006-06-13,98.35,122.55,31.72
601,2006-06-14,97.98,123.5,31.62
602,2006-06-15,97.82,126.12,31.87
603,2006-06-16,97.76,124.65,32.17
604,2006-06-19,97.5,123.67,32.07
605,2006-06-20,97.56,124.09,31.85
606,2006-06-21,97.59,125.01,31.98
607,2006-06-22,97.17,124.46,32.19
608,2006-06-26,96.94,124.99,32.17
609,2006-06-27,97.21,123.91,32.24
610,2006-06-28,97.11,124.75,32.11
611,2006-06-29,97.45,127.27,32.33
612,2006-06-30,97.44,127.23,32.9
613,2006-07-03,97.2,127.8,33.08
614,2006-07-05,96.91,127.07,32.99
615,2006-07-06,97.0,127.44,32.96
616,2006-07-07,97.36,126.61,33.0
617,2006-07-10,97.45,126.85,33.06
618,2006-07-11,97.61,127.41,32.99
619,2006-07-12,97.67,126.05,32.99
620,2006-07-13,97.75,124.0,32.66
621,2006-07-14,97.88,123.52,32.45
622,2006-07-17,97.67,123.34,32.23
623,2006-07-18,97.6,123.97,32.15
624,2006-07-19,97.98,125.69,32.1
625,2006-07-20,98.08,124.83,32.52
626,2006-07-21,98.02,123.95,32.4
627,2006-07-24,98.17,126.21,32.37
628,2006-07-25,98.09,126.66,32.62
629,2006-07-26,98.15,126.83,32.61
630,2006-07-27,98.31,126.71,32.95
631,2006-07-28,98.52,127.98,32.92
632,2006-07-31,98.4,127.85,33.08
633,2006-08-01,98.23,127.22,33.01
634,2006-08-02,98.27,128.08,33.15
635,2006-08-03,98.29,128.42,33.07
636,2006-08-04,98.6,128.2,33.23
637,2006-08-07,98.61,127.95,33.13
638,2006-08-08,98.61,127.41,33.15
639,2006-08-09,98.69,126.98,33.3
640,2006-08-10,98.64,127.37,33.2
641,2006-08-11,98.47,127.01,33.1
642,2006-08-14,98.36,127.11,33.14
643,2006-08-16,98.92,129.79,33.46
644,2006-08-17,98.94,130.03,33.57
645,2006-08-18,99.01,130.69,33.52
646,2006-08-21,99.25,130.13,33.6
647,2006-08-22,99.2,130.12,33.61
648,2006-08-23,99.23,129.76,33.61
649,2006-08-24,99.22,129.65,33.53
650,2006-08-25,99.32,129.81,33.45
651,2006-08-28,99.23,130.43,33.43
652,2006-08-29,99.27,130.58,33.52
653,2006-08-30,99.42,130.66,33.55
654,2006-08-31,99.55,130.64,33.62
655,2006-09-01,99.17,131.42,33.68
656,2006-09-05,99.05,131.67,33.81
657,2006-09-06,99.07,130.51,33.66
658,2006-09-07,99.04,129.91,33.46
659,2006-09-08,99.17,130.28,33.44
660,2006-09-11,99.1,130.41,33.24
661,2006-09-12,99.34,131.69,33.26
662,2006-09-13,99.42,132.22,33.38
663,2006-09-14,99.28,132.23,33.48
